,head,pygidium,1,2,3
0,2015233,1278185.0,1548290.0,1728563.0,1622033.0
1,1318919,1335777.0,1458234.0,1466424.0,1728550.0
2,2015241,1335790.0,1433691.0,1065030.0,1417265.0
3,2007060,1335807.0,1376350.0,1441872.0,1417276.0
4,1064990,1335832.0,1433701.0,1646725.0,1507391.0
5,1564703,1335845.0,827510.0,1646847.0,1278038.0
6,1318965,1409659.0,557195.0,1483032.0,1392742.0
7,1278006,1278598.0,942233.0,1392932.0,1392754.0
8,1294400,1409671.0,1663161.0,1728847.0,909450.0
9,1318986,1278688.0,1499326.0,1409372.0,1671351.0
10,1294413,1630952.0,1376459.0,1368417.0,1425621.0
11,24659,1278697.0,1679615.0,1647016.0,1392926.0
12,1130583,369396.0,139543.0,1417675.0,1401122.0
13,1024095,1278774.0,2015571.0,1950241.0,1392970.0
14,1278051,1278903.0,557403.0,1950245.0,1442134.0
15,1359987,1434598.0,2007389.0,705116.0,1450345.0
16,385141,1287162.0,1016172.0,1057387.0,1393034.0
17,1359995,1344565.0,1499594.0,1491577.0,1393083.0
18,1302663,1385530.0,1663434.0,1360565.0,1393089.0
19,786570,1385536.0,1827286.0,2015926.0,1524203.0
20,1736843,1385542.0,1589782.0,1696456.0,1450492.0
21,1409181,1360967.0,844338.0,1950485.0,1409561.0
22,1319070,1344599.0,1450580.0,1450796.0,1450610.0
23,57508,1361264.0,1827444.0,1033010.0,1393309.0
24,344239,1279508.0,1294986.0,1778482.0,582306.0
25,1736887,1541658.0,1950381.0,1295231.0,1393334.0
26,401601,1279518.0,1950393.0,1950602.0,992087.0
27,1065166,1312289.0,1360579.0,1377167.0,992096.0
28,57553,1279525.0,2015966.0,1393552.0,992125.0
29,508114,1279543.0,172769.0,2007954.0,1328001.0
30,1335507,1279563.0,1442572.0,1377175.0,992139.0
31,671957,1459796.0,942898.0,1647512.0,1631145.0
32,1065178,1279584.0,1753932.0,1565599.0,1360843.0
33,1155295,1730175.0,557901.0,1541032.0,1278947.0
34,73954,1386177.0,1000272.0,1377198.0,1278959.0
35,1474793,1460009.0,2294656.0,1336299.0,1516536.0
36,1409275,370978.0,1688455.0,1401852.0,992309.0
37,409861,1452348.0,1377191.0,1360893.0,992318.0
38,24849,1313126.0,1655775.0,1500207.0,1590351.0
39,16668,1387104.0,943145.0,1860656.0,1623138.0
40,532764,1632907.0,1295406.0,1975364.0,1279078.0
41,1311006,445419.0,1999932.0,992337.0,1393787.0
42,1335597,1166446.0,1999956.0,992344.0,1442970.0
43,2007344,1281424.0,1082470.0,992355.0,1623227.0
44,1360179,1347222.0,1426565.0,992365.0,1590476.0
45,1409346,2313882.0,1647763.0,1729648.0,1410274.0
46,16719,1347263.0,1295517.0,992374.0,1484007.0
47,1204562,1732300.0,992438.0,992383.0,1623277.0
48,237911,1618091.0,992446.0,1541262.0,1393903.0
49,1335645,1274031.0,1582275.0,992401.0,1828100.0
50,1212800,1274053.0,992455.0,992419.0,1279252.0
51,1737105,1364517.0,1377483.0,992429.0,1393942.0
52,1089948,1274603.0,1361146.0,1410290.0,1729830.0
53,2294176,144261.0,1336580.0,2008327.0,1361208.0
54,1261995,1594313.0,1361174.0,2008355.0,1361224.0
55,25010,668812.0,1598752.0,689547.0,1434961.0
56,1319384,1275026.0,1328477.0,1631633.0,1361239.0
57,672228,1275053.0,1328483.0,2008469.0,1590675.0
58,2294251,1275135.0,1680741.0,280016.0,1574311.0
59,1327607,1349034.0,1951105.0,1517020.0,1574360.0
60,1303054,1275357.0,804282.0,1230301.0,1934818.0
61,762387,1324518.0,1238488.0,2008544.0,525800.0
62,1294885,1275367.0,1549787.0,1525235.0,1574394.0
