,left,right
0,2015233,1769485.0
1,1548290,1622033.0
2,1318919,2007060.0
3,2015241,1064990.0
4,1728550,1728563.0
5,1417265,1466424.0
6,1318965,1417276.0
7,1278006,1507391.0
8,1318986,1294400.0
9,1278038,1065030.0
10,1130583,1294413.0
11,1024095,1441872.0
12,1278051,24659.0
13,1392742,1376350.0
14,1392754,1359987.0
15,385141,1359995.0
16,827510,786570.0
17,1646725,909450.0
18,1302663,1204373.0
19,557195,1409181.0
20,1736843,1319070.0
21,942233,57508.0
22,344239,1409196.0
23,1671351,1663161.0
24,1736887,401601.0
25,1065166,573635.0
26,57553,1376459.0
27,508114,1335507.0
28,1065178,671957.0
29,1155295,1425621.0
30,73954,1278185.0
31,1409275,1474793.0
32,1646847,1679615.0
33,409861,24849.0
34,1311006,139543.0
35,1392926,1483032.0
36,1401122,16668.0
37,2007344,532764.0
38,1360179,1392932.0
39,1392970,1335597.0
40,16719,1409346.0
41,1728847,1409372.0
42,1204562,1450345.0
43,2015571,1737105.0
44,1442134,2294176.0
45,557403,25010.0
46,1335645,1393083.0
47,2007389,1663434.0
48,1368417,1319384.0
49,1016172,672228.0
50,1204589,1327607.0
51,1212800,1450492.0
52,1393034,1204752.0
53,1089948,762387.0
54,1647016,1589782.0
55,1261995,1409561.0
56,1499594,1770014.0
57,1417675,442961.0
58,2015704,1417810.0
59,1335777,705116.0
60,2294251,1294947.0
61,1335790,1303153.0
62,1335807,1450610.0
63,1335832,1491577.0
64,1950241,1409659.0
65,1335845,1409671.0
66,1950245,1327767.0
67,844338,1393309.0
68,1450580,582306.0
69,1278565,1286825.0
70,1057387,1704627.0
71,1155695,1360565.0
72,1827444,1393334.0
73,1278598,541367.0
74,1294986,1278649.0
75,2015926,1729214.0
76,1950393,983759.0
77,1360579,180953.0
78,1696456,1319649.0
79,1352396,1319657.0
80,1639124,770802.0
81,2015966,369396.0
82,1278688,1311483.0
83,172769,1123072.0
84,1630952,1442572.0
85,1278697,1319704.0
86,74477,1450796.0
87,1303297,1033010.0
88,1950485,1778482.0
89,115486,246584.0
90,942898,1311558.0
91,1278774,1753932.0
92,992087,557901.0
93,992096,1000272.0
94,41848,893804.0
95,2294656,1311597.0
96,1377167,557944.0
97,1377175,992125.0
98,1647512,1295231.0
99,1704860,1328001.0
100,1565599,1950602.0
101,1377191,992139.0
102,1541032,1393552.0
