,0
0,sensory
1,sensory
2,sensory
3,sensory
4,sensory
5,sensory
6,sensory
7,sensory
8,sensory
9,sensory
10,sensory
11,sensory
12,inter
13,inter
14,inter
15,inter
16,inter
17,inter
18,inter
19,inter
20,sensory
21,sensory
22,inter
23,inter
24,inter
25,inter
26,motor
27,sensory
28,sensory
29,sensory
30,sensory
31,sensory
32,sensory
33,sensory
34,sensory
35,sensory
36,motor
37,sensory
38,inter
39,inter
40,inter
41,inter
42,inter
43,inter
44,inter
45,sensory
46,sensory
47,sensory
48,sensory
49,sensory
50,sensory
51,sensory
52,sensory
53,sensory
54,sensory
55,sensory
56,sensory
57,sensory
58,sensory
59,sensory
60,sensory
61,sensory
62,sensory
63,sensory
64,sensory
65,motor
66,sensory
67,sensory
68,inter
69,inter
70,inter
71,motor
72,inter
73,motor
74,motor
75,motor
76,motor
77,motor
78,motor
79,motor
80,motor
81,motor
82,motor
83,motor
84,motor
85,motor
86,motor
87,motor
88,inter
89,sensory
90,sensory
91,sensory
92,sensory
93,sensory
94,sensory
95,sensory
96,sensory
97,inter
98,inter
99,inter
100,inter
101,inter
102,inter
103,inter
104,inter
105,inter
106,inter
107,inter
108,sensory
109,sensory
110,sensory
111,sensory
112,sensory
113,sensory
114,sensory
115,sensory
116,sensory
117,sensory
118,sensory
119,sensory
120,sensory
121,sensory
122,sensory
123,sensory
124,inter
125,inter
126,motor
127,motor
128,motor
129,sensory
130,sensory
131,sensory
132,sensory
133,sensory
134,sensory
135,sensory
136,sensory
137,sensory
138,sensory
139,sensory
140,sensory
141,sensory
142,sensory
143,sensory
144,sensory
145,sensory
146,sensory
147,sensory
148,sensory
149,sensory
150,sensory
151,sensory
152,inter
153,inter
154,inter
155,motor
156,motor
157,motor
158,sensory
159,sensory
160,sensory
161,sensory
162,sensory
163,sensory
164,sensory
165,inter
166,inter
167,inter
168,inter
169,inter
170,inter
171,inter
172,inter
173,inter
174,inter
175,inter
176,inter
177,inter
178,inter
179,inter
180,inter
181,inter
182,motor
183,sensory
184,sensory
185,sensory
186,sensory
187,sensory
188,sensory
189,sensory
190,sensory
191,sensory
192,inter
193,inter
194,sensory
195,motor
196,sensory
197,sensory
198,inter
199,sensory
200,inter
201,inter
202,motor
203,inter
204,inter
205,inter
206,inter
207,inter
208,inter
209,motor
210,inter
211,inter
212,motor
213,motor
214,sensory
215,sensory
216,motor
217,motor
218,sensory
219,sensory
220,sensory
221,sensory
222,inter
223,inter
224,sensory
225,sensory
226,sensory
227,inter
228,inter
229,inter
230,inter
231,motor
232,motor
233,motor
234,motor
235,motor
236,inter
237,inter
238,inter
239,inter
240,inter
241,sensory
242,inter
243,sensory
244,inter
245,inter
246,inter
247,inter
248,inter
249,inter
250,inter
251,inter
252,inter
253,sensory
254,inter
255,muscle
256,muscle
257,inter
258,inter
259,muscle
260,inter
261,muscle
262,sensory
263,inter
264,muscle
265,motor
266,muscle
267,inter
268,motor
269,ciliated
270,muscle
271,muscle
272,muscle
273,inter
274,motor
275,inter
276,ciliated
277,sensory
278,motor
279,muscle
280,muscle
281,motor
282,muscle
283,muscle
284,sensory
285,sensory
286,inter
287,inter
288,inter
289,ciliated
290,muscle
291,inter
292,inter
293,inter
294,inter
295,inter
296,muscle
297,muscle
298,inter
299,ciliated
300,inter
301,inter
302,ciliated
303,ciliated
304,inter
305,sensory
306,muscle
307,inter
308,sensory
309,motor
310,inter
311,inter
312,muscle
313,inter
314,inter
315,muscle
316,inter
317,sensory
318,sensory
319,muscle
320,inter
321,muscle
322,sensory
323,inter
324,sensory
325,inter
326,muscle
327,sensory
328,motor
329,inter
330,sensory
331,motor
332,inter
333,sensory
334,sensory
335,muscle
336,inter
337,inter
338,inter
339,inter
340,inter
341,inter
342,muscle
343,muscle
344,muscle
345,inter
346,muscle
347,inter
348,inter
349,sensory
350,inter
351,inter
352,motor
353,inter
354,inter
355,muscle
356,inter
357,muscle
358,motor
359,epithelia
360,sensory
361,inter
362,inter
363,muscle
364,inter
365,muscle
366,ciliated
367,inter
368,ciliated
369,muscle
370,inter
371,muscle
372,motor
373,inter
374,motor
375,inter
376,epithelia
377,muscle
378,inter
379,sensory
380,muscle
381,muscle
382,inter
383,sensory
384,muscle
385,inter
386,sensory
387,ciliated
388,inter
389,muscle
390,inter
391,inter
392,inter
393,motor
394,sensory
395,sensory
396,sensory
397,sensory
398,ciliated
399,motor
400,sensory
401,ciliated
402,sensory
403,inter
404,motor
405,epithelia
406,muscle
407,inter
408,sensory
409,inter
410,muscle
411,inter
412,inter
413,motor
414,motor
415,inter
416,inter
417,inter
418,sensory
419,inter
420,muscle
421,sensory
422,muscle
423,ciliated
424,motor
425,sensory
426,motor
427,sensory
428,muscle
429,muscle
430,sensory
431,muscle
432,muscle
433,inter
434,muscle
435,sensory
436,ciliated
437,inter
438,motor
439,inter
440,epithelia
441,inter
442,inter
443,inter
444,ciliated
445,muscle
446,motor
447,inter
448,muscle
449,muscle
450,muscle
451,inter
452,inter
453,inter
454,sensory
455,sensory
456,muscle
457,motor
458,inter
459,inter
460,sensory
461,inter
462,ciliated
463,inter
464,inter
465,inter
466,motor
467,sensory
468,muscle
469,sensory
470,inter
471,ciliated
472,sensory
473,inter
474,sensory
475,muscle
476,inter
477,muscle
478,sensory
479,muscle
480,inter
481,sensory
482,sensory
483,inter
484,sensory
485,sensory
486,inter
487,inter
488,sensory
489,muscle
490,sensory
491,inter
492,inter
493,inter
494,motor
495,muscle
496,muscle
497,motor
498,inter
499,muscle
500,muscle
501,inter
502,inter
503,sensory
504,inter
505,sensory
506,inter
507,inter
508,muscle
509,muscle
510,motor
511,muscle
512,muscle
513,inter
514,inter
515,inter
516,inter
517,ciliated
518,muscle
519,inter
520,sensory
521,sensory
522,ciliated
523,sensory
524,inter
525,muscle
526,inter
527,muscle
528,inter
529,inter
530,sensory
531,inter
532,inter
533,muscle
534,sensory
535,ciliated
536,motor
537,muscle
538,inter
539,inter
540,muscle
