,head,pygidium,1,2,3
0,2015233,1278185.0,1548290.0,1466405.0,1646603.0
1,1318919,1335777.0,1671212.0,1728563.0,1622033.0
2,2015241,1335790.0,1458234.0,1466424.0,1441826.0
3,1318929,1335832.0,1671231.0,1065030.0,1728550.0
4,1318938,1335845.0,1957973.0,1441872.0,1417265.0
5,1064990,1409659.0,1433691.0,1646725.0,1417276.0
6,1564703,1278598.0,1376350.0,2015432.0,1507391.0
7,1318965,1409671.0,827510.0,1482990.0,1278038.0
8,1278006,1409695.0,557195.0,1483005.0,1392742.0
9,1564732,2015919.0,942233.0,1646847.0,1392754.0
10,1294400,1278688.0,1663161.0,1483032.0,909450.0
11,1318986,1630952.0,1499326.0,1392932.0,1384593.0
12,1294413,1278697.0,1376459.0,1417531.0,1433751.0
13,1327186,369396.0,1286389.0,1417545.0,1671351.0
14,24659,1278748.0,1679615.0,1728847.0,1425621.0
15,1130583,1409843.0,1286402.0,1409372.0,1392926.0
16,1024095,1278774.0,139543.0,1483099.0,1401122.0
17,1278051,1622869.0,2015571.0,1368417.0,1392970.0
18,1359971,1631093.0,557403.0,1728870.0,1442134.0
19,1359987,1278903.0,2007389.0,1647016.0,1450345.0
20,385141,1434598.0,1663395.0,1417675.0,1393034.0
21,1065083,1287162.0,1499594.0,1622511.0,1393083.0
22,1335430,1344565.0,1663434.0,1950241.0,1393089.0
23,1302663,1385530.0,1663439.0,1647148.0,1614287.0
24,786570,1385536.0,1827286.0,1589825.0,1278418.0
25,1736843,1385542.0,1606117.0,1450597.0,1401321.0
26,1319057,1360967.0,1663484.0,1647206.0,1524203.0
27,1409181,1344599.0,1589782.0,1057387.0,1450492.0
28,1319070,1361034.0,844338.0,1491577.0,1409561.0
29,57508,1434934.0,1827444.0,1442426.0,1434136.0
30,344239,1361264.0,1294986.0,1442435.0,1409579.0
31,1073332,1385968.0,1950381.0,1360565.0,1434209.0
32,1736887,1279508.0,1950393.0,2015926.0,1450610.0
33,401601,1541658.0,1360579.0,1696456.0,1393284.0
34,1065166,1279518.0,1295044.0,1950485.0,1393309.0
35,57553,1312289.0,2015966.0,1450796.0,582306.0
36,508114,1279525.0,172769.0,1033010.0,1393334.0
37,1335507,1279543.0,1442572.0,1778482.0,1696562.0
38,671957,1279563.0,942898.0,1778488.0,992087.0
39,1065178,1459796.0,1295161.0,1295231.0,992096.0
40,1155295,1279584.0,1753932.0,1950602.0,992125.0
41,73954,1730175.0,557901.0,1532811.0,1328001.0
42,1474793,1386177.0,1000272.0,1393552.0,992139.0
43,1466608,1460009.0,1688455.0,2007954.0,1631145.0
44,1409275,1632110.0,1352604.0,1377175.0,1360843.0
45,409861,1623923.0,1377191.0,1647512.0,1278947.0
46,24849,1443883.0,1794992.0,1565599.0,1278959.0
47,16668,1452348.0,1655775.0,1541032.0,1516536.0
48,532764,1313126.0,1328126.0,1377198.0,1385497.0
49,1311006,1387104.0,943145.0,1336299.0,1483805.0
50,1335597,1632997.0,1311787.0,1459186.0,992309.0
51,1360179,1354532.0,1295406.0,1360893.0,992318.0
52,1409346,445419.0,1999956.0,2016268.0,1590351.0
53,16719,1166446.0,1082470.0,1500207.0,1623138.0
54,1204562,1387718.0,1426565.0,1860656.0,1172582.0
55,237911,1281424.0,1647763.0,1975364.0,1279078.0
56,1335645,1347179.0,1295517.0,992337.0,1393787.0
57,106879,1347222.0,992438.0,992344.0,1442970.0
58,1212800,1347263.0,992446.0,992355.0,1623227.0
59,1130883,1732300.0,1582275.0,992365.0,1426630.0
60,1737105,1347511.0,1459397.0,1729648.0,1590476.0
61,1089948,1437768.0,992455.0,992374.0,1410263.0
62,1261995,1274024.0,1377483.0,992383.0,1410274.0
63,1335727,1618091.0,1361146.0,1541262.0,1484007.0
64,25010,1274031.0,1336580.0,992401.0,1623277.0
65,770519,1274053.0,1361174.0,992419.0,1393903.0
66,1319384,1626409.0,1598752.0,992429.0,1828100.0
67,1343962,1323310.0,1328477.0,1688755.0,1279252.0
