skids,side,class,segment,type,group
2015233,l,s,head,100,N/A
1548290,l,N/A,1,N/A,N/A
1318919,l,s,head,88,15
2015241,l,s,head,100,N/A
1646603,r,N/A,3,N/A,N/A
1769485,r,s,0,N/A,N/A
1318929,l,s,head,88,15
1622033,r,N/A,3,N/A,N/A
2007060,lr,i,head,N/A,N/A
1318938,l,s,head,88,15
1064990,r,i,head,116,N/A
1564703,l,N/A,head,N/A,N/A
1441826,r,N/A,3,N/A,N/A
1466405,r,i,2,N/A,5
1728550,l,i,3,105,N/A
139303,lr,s,1,102,N/A
1671212,r,N/A,1,N/A,N/A
1417265,l,i,3,N/A,5
1728563,r,m,2,165,N/A
1318965,l,i,head,N/A,N/A
1278006,l,s,head,80,N/A
1466424,r,m,2,64,N/A
1458234,r,N/A,1,N/A,N/A
1417276,r,i,3,N/A,3
1564732,l,N/A,head,N/A,N/A
1507391,r,N/A,3,N/A,N/A
1294400,r,s,head,163,N/A
1671231,r,N/A,1,N/A,N/A
1065030,r,N/A,2,169,3
1318986,l,i,head,N/A,N/A
1294413,r,s,head,163,N/A
1441872,r,N/A,2,N/A,N/A
1327186,r,s,head,N/A,N/A
24659,r,s,head,1,N/A
1957973,l,N/A,1,N/A,N/A
1278038,l,s,3,143,N/A
1130583,l,s,head,49,N/A
1433691,l,N/A,1,N/A,N/A
1376350,r,i,1,N/A,3
1024095,l,i,head,N/A,N/A
1278051,l,s,head,96,N/A
1359971,r,i,head,N/A,N/A
1392742,l,N/A,3,N/A,N/A
1392754,l,N/A,3,N/A,N/A
1359987,r,i,head,N/A,N/A
385141,l,i,head,125,12
827510,l,i,1,155,3
1065083,r,i,head,N/A,N/A
1646725,l,N/A,2,N/A,N/A
1335430,r,i,head,N/A,N/A
1302663,l,s,head,N/A,N/A
2007173,r,N/A,0,N/A,16
786570,r,i,head,N/A,N/A
557195,l,N/A,1,N/A,N/A
909450,r,N/A,3,N/A,N/A
1736843,l,s,head,100,15
1319057,l,i,head,N/A,N/A
1384593,l,i,3,N/A,N/A
1204373,r,N/A,0,N/A,N/A
1433751,r,i,3,N/A,N/A
942233,l,N/A,1,N/A,N/A
1409181,r,N/A,head,N/A,N/A
1319070,r,s,head,15,N/A
57508,r,i,head,N/A,N/A
1409196,r,N/A,0,N/A,N/A
344239,l,m,head,84,N/A
1073332,l,s,head,N/A,N/A
1671351,l,N/A,3,N/A,N/A
1736887,l,s,head,100,N/A
1663161,r,m,1,N/A,N/A
1499326,r,i,1,N/A,7
401601,r,i,head,N/A,N/A
573635,r,N/A,0,N/A,N/A
2015432,l,i,2,N/A,1
1376459,r,i,1,N/A,6
1065166,l,s,head,50,N/A
57553,l,i,head,57,N/A
508114,l,s,head,28,N/A
1335507,r,i,head,122,N/A
671957,r,i,head,104,N/A
1425621,r,i,3,N/A,7
1065178,l,s,head,13,N/A
1286364,r,N/A,0,N/A,N/A
1155295,l,s,head,N/A,N/A
73954,l,i,head,104,N/A
1278185,r,s,pygidium,98,9
1474793,r,i,head,N/A,N/A
1482990,r,i,2,N/A,N/A
1466608,r,s,head,N/A,N/A
1286389,r,N/A,1,N/A,N/A
1409275,l,N/A,head,N/A,N/A
1483005,r,N/A,2,N/A,N/A
1646847,l,N/A,2,N/A,N/A
1679615,r,m,1,64,N/A
1286402,r,i,1,N/A,5
409861,l,i,head,104,N/A
24849,r,s,head,1,N/A
139543,r,s,1,38,N/A
1483032,r,i,2,N/A,1
16668,r,s,head,1,N/A
532764,r,s,head,44,N/A
1311006,l,i,head,117,12
1392926,l,m,3,N/A,N/A
1401122,l,i,3,N/A,3
1392932,r,i,2,N/A,7
1335597,r,s,head,N/A,N/A
2007344,l,im,head,166,N/A
1360179,l,i,head,118,N/A
1417531,r,N/A,2,N/A,N/A
1409346,r,i,head,N/A,N/A
1417545,r,s,2,95,N/A
1392970,l,m,3,64,N/A
16719,l,s,head,35,N/A
1728847,l,N/A,2,N/A,N/A
1204562,l,N/A,head,N/A,N/A
2015571,l,i,1,73,7
1442134,l,i,3,N/A,7
237911,N/A,i,head,42,N/A
557403,l,N/A,1,N/A,N/A
1409372,r,m,2,64,N/A
1335645,l,i,head,N/A,N/A
1483099,l,i,2,N/A,3
2007389,l,i,1,N/A,4
1204576,l,N/A,0,N/A,N/A
1368417,l,N/A,2,N/A,N/A
1728870,r,N/A,2,N/A,N/A
1450345,r,N/A,3,N/A,N/A
1016172,l,im,1,N/A,N/A
1204589,l,N/A,0,N/A,N/A
106879,l,i,head,N/A,13
1212800,l,s,head,24,N/A
1130883,l,i,head,N/A,N/A
1393034,l,i,3,N/A,5
1737105,r,s,head,36,N/A
1089948,l,s,head,29,N/A
1663395,r,N/A,1,N/A,N/A
1647016,l,N/A,2,N/A,N/A
1261995,l,i,head,N/A,N/A
1335727,l,i,head,N/A,N/A
25010,r,s,head,1,N/A
1393083,r,i,3,N/A,5
1393089,r,N/A,3,N/A,N/A
1499594,l,i,1,N/A,2
1417675,l,N/A,2,N/A,2
1663434,r,i,1,N/A,N/A
1614287,l,N/A,3,N/A,N/A
1663439,r,m,1,N/A,N/A
1278418,r,i,3,N/A,1
1827286,l,i,1,N/A,1
770519,l,i,head,N/A,N/A
1319384,r,s,head,N/A,N/A
2015704,l,s,0,94,16
1343962,r,i,head,N/A,N/A
1335777,l,s,pygidium,80,9
672228,r,s,head,41,N/A
1606117,l,N/A,1,N/A,N/A
1401321,r,m,3,N/A,N/A
1524203,r,N/A,3,N/A,N/A
1335790,l,s,pygidium,N/A,9
1622511,r,N/A,2,N/A,N/A
1327607,r,s,head,30,N/A
1450492,r,N/A,3,N/A,N/A
1663484,r,N/A,1,N/A,N/A
1303054,l,N/A,head,N/A,N/A
2015759,l,s,0,N/A,16
1204752,r,N/A,0,N/A,N/A
762387,r,i,head,N/A,14
1589782,r,i,1,N/A,N/A
1335832,l,s,pygidium,N/A,9
1409561,r,i,3,N/A,1
1434136,l,N/A,3,N/A,N/A
1770014,r,s,0,N/A,16
1950241,l,s,2,N/A,N/A
1335845,l,s,pygidium,N/A,9
1409579,l,i,3,N/A,5
1647148,l,N/A,2,N/A,N/A
844338,l,N/A,1,N/A,N/A
746037,r,N/A,head,N/A,N/A
1344059,r,i,head,N/A,N/A
1589825,r,N/A,2,N/A,N/A
442961,r,s,head,48,N/A
1417810,r,s,head,168,N/A
1344084,r,i,head,N/A,N/A
1434209,r,i,3,N/A,N/A
1294947,r,N/A,head,N/A,N/A
1278565,l,s,head,N/A,N/A
1450597,l,i,2,N/A,N/A
1647206,l,N/A,2,N/A,N/A
1057387,l,N/A,2,N/A,N/A
1155695,l,s,head,29,N/A
1303153,r,i,head,N/A,N/A
1450610,r,i,3,N/A,3
1827444,l,i,1,N/A,1
1294966,l,N/A,head,N/A,N/A
