,left,right
0,2015233,1769485.0
1,1548290,1622033.0
2,1318919,2007060.0
3,2015241,1064990.0
4,1564703,1728563.0
5,1728550,1466424.0
6,1417265,1458234.0
7,1318965,1417276.0
8,1278006,1507391.0
9,1318986,1294400.0
10,1278038,1065030.0
11,1130583,1294413.0
12,1433691,1441872.0
13,1024095,24659.0
14,1278051,1376350.0
15,1433701,1359987.0
16,1392742,1359995.0
17,1392754,2007173.0
18,385141,786570.0
19,827510,909450.0
20,1646725,1204373.0
21,1302663,1409181.0
22,557195,1319070.0
23,1736843,57508.0
24,942233,1409196.0
25,344239,1663161.0
26,1671351,1499326.0
27,1736887,401601.0
28,1065166,573635.0
29,57553,1376459.0
30,508114,1335507.0
31,1065178,671957.0
32,1155295,1425621.0
33,73954,1286364.0
34,1409275,1278185.0
35,1646847,1474793.0
36,409861,1679615.0
37,1311006,24849.0
38,1392926,139543.0
39,1401122,1483032.0
40,2007344,16668.0
41,1360179,532764.0
42,1392970,1392932.0
43,16719,1335597.0
44,1728847,1409346.0
45,1204562,1409372.0
46,2015571,1450345.0
47,1442134,1737105.0
48,557403,2294176.0
49,1335645,25010.0
50,2007389,1393083.0
51,1368417,1393089.0
52,1016172,1663434.0
53,1204589,1319384.0
54,1212800,672228.0
55,1393034,1524203.0
56,1089948,1327607.0
57,1647016,1450492.0
58,1261995,1204752.0
59,1499594,762387.0
60,1417675,1589782.0
61,1827286,1409561.0
62,2015704,1770014.0
63,1335777,746037.0
64,2294251,442961.0
65,1335790,1417810.0
66,1335807,705116.0
67,1303054,1294947.0
68,1335832,1303153.0
69,1950241,1450610.0
70,1294885,1491577.0
71,1335845,1409659.0
72,1950245,1294978.0
73,844338,1409671.0
74,1450580,1278611.0
75,1278565,1327767.0
76,1057387,1393309.0
77,1155695,582306.0
78,1827444,1286825.0
79,1294966,1704627.0
80,1278598,1360565.0
81,1294986,1393334.0
82,1950381,541367.0
83,2015926,1278649.0
84,1950393,1729214.0
85,1360579,983759.0
86,1696456,180953.0
87,1352396,1319649.0
88,1639124,1319657.0
89,2015966,770802.0
90,1278688,369396.0
91,172769,1311483.0
92,1630952,1123072.0
93,1278697,1442572.0
94,74477,1319704.0
95,1303297,1450796.0
96,1950485,1033010.0
97,115486,1778482.0
98,942898,246584.0
99,1278774,1311558.0
100,992087,1753932.0
101,992096,557901.0
102,41848,1000272.0
